THE LITTLE GREBE,الغطاس الصغير,https://webxr.run/5O012Vdy8VAbw
THE FROG-HEADED LIZARD,السحلية ضفدعية الرأس,https://webxr.run/xE00Z77wlw9Eo
THE WESTERN GREAT EGRET,البلشون الكبير الغربي,https://webxr.run/oybX5Q3zNVgp4
THE DESERT HARE,الأرنب البري,https://webxr.run/rY7xL333AGY9b
THE HOOPOE,طائر الهدهد,https://webxr.run/ozPgmb63dzWLz
RUPPELL’S FOX,ثعلب روبل,https://webxr.run/dy93Mv6RpVAdZ
THE IRAQI SANDGROUSE,القطا العراقي,https://webxr.run/L1vYz8MRDEo3o
THE WATER RAIL,طائر مرعة الماء,https://webxr.run/VEaw1xxyogpx
THE ARABIAN GREEN BEE-EATER,الوروار العربي الأخضر,https://webxr.run/V2RzPLOVNW5gM
THE DESERT MONITOR,الورل الصحراوي,https://webxr.run/XEwGM8pkkknQx
THE PURPLE SUNBIRD,طائر التمير الأرجواني,https://webxr.run/OQ8MwdW5GxYNX
THE BLUE-THROATED WAGTAIL,طائر بنت الصباغ أو الهزاز أزرق الحلق,https://webxr.run/yy7oO5Ed68Jka
THE LONG-TAILED DESERT GERBIL,الفأر طويل الذيل الصحراوي,https://webxr.run/wGVQ3vEyVplJ4
THE YELLOW WAGTAILS,طائر الهزاز الأصفر,https://webxr.run/GY6y69QaOvvD
THE SANDFISH LIZARD,سحلية سمكة الرمال,https://webxr.run/xlPbloxOb85O
THE SPINY-TAILED LIZARD,سحلية الضب,https://webxr.run/AR0moLmQ5kMV
THE LITTLE OWL,طائر البومة الصغيرة,https://webxr.run/dy0GNJWeXdbXp
THE ARABIAN ORYX,المها العربي,https://webxr.run/OxyZ5mJy3GWAX
THE HOUBARA BUSTARD,الحبارى,https://webxr.run/3oXW15Q3wgyL2
THE DORCAS GAZELLE,غزال دوركاس,https://webxr.run/0Zpa12WOw19wJ
THE EURASIAN STONE-CURLEW,الكروان الأوراسي,https://webxr.run/06LeM1AzARYJP
THE WHITE-TAILED LAPWING,الزقزاق أبيض الذيل,https://webxr.run/yX7JR9wGGYm2r
THE DESERT EAGLE OWL,بومة الصحراء النسارية,https://webxr.run/nOAvvLXVoYrxk
THE HEDGEHOG,القنفذ,https://webxr.run/Lm5VY4pEmlln
